weight,max_load_capacity,passenger_count,cargo_weight,vehicle_type_2-wheeler,vehicle_type_4-wheeler 5-seater,vehicle_type_4-wheeler 7-seater,vehicle_type_delivery vehicle,vehicle_type_heavy vehicle,weight_scaled,max_load_capacity_scaled,passenger_count_scaled,cargo_weight_scaled,overload_status
300,286,2,35,True,False,False,False,False,-0.5543658853720749,-0.5736798353599379,-0.3335048467578974,-0.4210701016805952,Overloaded
1265,1368,4,31,False,False,True,False,False,-0.42781157048692203,-0.4364393696552072,0.9163581708533476,-0.4218328923899625,Not Overloaded
1067,1080,1,87,False,False,True,False,False,-0.4537781553027358,-0.4729691793806808,-0.9584363555635198,-0.41115382245882004,Not Overloaded
1328,2080,2,101,False,False,False,True,False,-0.41954947531825404,-0.34612956227834185,-0.3335048467578974,-0.4084840549760344,Not Overloaded
907,808,3,26,False,True,False,False,False,-0.4747612541437974,-0.507469555232517,0.2914266620477251,-0.4227863807766717,Overloaded
207,200,1,44,True,False,False,False,False,-0.566562311573442,-0.584588042430739,-0.9584363555635198,-0.41935382258451875,Overloaded
11564,13272,1,4879,False,False,False,False,True,0.9228442730386621,1.0734594323310351,-0.9584363555635198,0.5026694473632316,Not Overloaded
1320,1199,3,114,False,False,True,False,False,-0.42059863026030714,-0.45787526494550246,0.2914266620477251,-0.40600498517059064,Overloaded
15836,18518,1,9343,False,False,False,False,True,1.483093012095007,1.7388600636499052,-0.9584363555635198,1.353943879017163,Not Overloaded
1895,1702,1,408,False,False,False,True,False,-0.345190618800242,-0.39407493754302597,-0.9584363555635198,-0.3499398680320925,Overloaded
16915,16865,3,8406,False,False,False,False,True,1.6245977849044162,1.529194176579739,0.2914266620477251,1.1752601553478677,Overloaded
833,1145,2,31,False,True,False,False,False,-0.48446593735778837,-0.4647246042690288,-0.3335048467578974,-0.4218328923899625,Not Overloaded
980,1133,3,12,False,True,False,False,False,-0.46518771529756303,-0.4662466796742568,0.2914266620477251,-0.4254561482594573,Not Overloaded
1573,2469,2,233,False,False,False,True,False,-0.3874191052178784,-0.296788951225532,-0.3335048467578974,-0.3833119615669128,Not Overloaded
1520,2442,1,162,False,False,False,True,False,-0.3943697567089801,-0.3002136208872952,-0.9584363555635198,-0.39685149665818276,Not Overloaded
1911,1869,1,497,False,False,False,True,False,-0.3430923089161358,-0.37289272148693536,-0.9584363555635198,-0.33296777474866956,Overloaded
794,907,2,11,False,True,False,False,False,-0.4895805677002971,-0.49491243313938543,-0.3335048467578974,-0.42564684593679913,Not Overloaded
1256,1043,3,192,False,False,True,False,False,-0.42899186979673176,-0.47766224521346734,0.2914266620477251,-0.39113056633792787,Overloaded
